condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,instruct_phase,instruct_state
low,34,185,generalisation,11,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.40713012828522,,1.0
low,34,186,generalisation,11,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.770925755154824,,1.0
low,34,187,generalisation,11,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.87310147632975,,1.0
low,34,188,generalisation,11,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.11379002083272,,1.0
low,34,189,generalisation,12,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.36697990923635,,1.0
low,34,190,generalisation,12,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.80716041278502,,1.0
low,34,191,generalisation,12,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.978750228860978,,1.0
low,34,192,generalisation,12,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.7994105780012,,1.0
low,34,193,generalisation,12,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.7534798947406,,1.0
low,34,194,generalisation,12,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.769648744441977,,1.0
low,34,195,generalisation,12,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.86456602367564,,1.0
low,34,196,generalisation,12,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.982051653837704,,1.0
low,34,197,generalisation,12,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.86018765088935,,1.0
low,34,198,generalisation,12,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.874560811033966,,1.0
low,34,199,generalisation,12,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.932895708312945,,1.0
low,34,200,generalisation,12,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.665899292114204,,1.0
low,34,201,generalisation,13,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.880292576474172,,1.0
low,34,202,generalisation,13,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.80915934998926,,1.0
low,34,203,generalisation,13,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.18858313465101,,1.0
low,34,204,generalisation,13,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.61910749284187,,1.0
low,34,205,generalisation,13,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.57565760396594,,1.0
low,34,206,generalisation,13,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.14600923236203,,1.0
low,34,207,generalisation,13,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.58583250990477,,1.0
low,34,208,generalisation,13,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.711546013415436,,1.0
low,34,209,generalisation,13,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.503375386782412,,1.0
low,34,210,generalisation,13,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.506024741348213,,1.0
low,34,211,generalisation,13,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.094862394387864,,1.0
low,34,212,generalisation,13,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.005371701973676,,1.0
low,34,213,generalisation,14,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.007257008923638,,1.0
low,34,214,generalisation,14,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.52459535124112,,1.0
low,34,215,generalisation,14,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.24648384985946,,1.0
low,34,216,generalisation,14,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.607164454102,,1.0
low,34,217,generalisation,14,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.250869829644735,,1.0
low,34,218,generalisation,14,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.594370610412664,,1.0
low,34,219,generalisation,14,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.321392508238823,,1.0
low,34,220,generalisation,14,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.54848334965603,,1.0
low,34,221,generalisation,14,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.295958626904344,,1.0
low,34,222,generalisation,14,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.856982497724573,,1.0
low,34,223,generalisation,14,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.137761733694667,,1.0
low,34,224,generalisation,14,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.84172459400348,,1.0
low,34,225,generalisation,15,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.413148172064346,,1.0
low,34,226,generalisation,15,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.946015272739544,,1.0
low,34,227,generalisation,15,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.745956206523978,,1.0
low,34,228,generalisation,15,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.19350765945573,,1.0
low,34,229,generalisation,15,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.86186933487745,,1.0
low,34,230,generalisation,15,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.30753680184158,,1.0
low,34,231,generalisation,15,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.160060964704865,,1.0
low,34,232,generalisation,15,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.74623455676362,,1.0
