condition,subject,sub_task,block,acc
4F4K_congruent,31,1,9,0.7692307692307693
4F4K_congruent,31,1,10,0.7272727272727273
4F4K_congruent,31,1,11,0.7692307692307693
4F4K_congruent,31,1,12,0.75
4F4K_congruent,31,1,13,0.8333333333333334
4F4K_congruent,31,1,14,0.7692307692307693
4F4K_congruent,31,1,15,0.6428571428571429
4F4K_congruent,31,2,0,0.2857142857142857
4F4K_congruent,31,2,1,0.5
4F4K_congruent,31,2,2,0.75
4F4K_congruent,31,2,3,0.6
4F4K_congruent,31,2,4,0.6923076923076923
4F4K_congruent,31,2,5,0.35714285714285715
4F4K_congruent,31,2,6,0.4
4F4K_congruent,31,2,7,0.3333333333333333
4F4K_congruent,31,2,8,0.4666666666666667
4F4K_congruent,31,2,9,0.8333333333333334
4F4K_congruent,31,2,10,0.6428571428571429
4F4K_congruent,31,2,11,0.6666666666666666
4F4K_congruent,31,2,12,0.7777777777777778
4F4K_congruent,31,2,13,0.7692307692307693
4F4K_congruent,31,2,14,0.5833333333333334
4F4K_congruent,31,2,15,0.7
4F4K_congruent,35,1,0,0.5
4F4K_congruent,35,1,1,0.46153846153846156
4F4K_congruent,35,1,2,0.7692307692307693
4F4K_congruent,35,1,3,0.8
4F4K_congruent,35,1,4,0.5
4F4K_congruent,35,1,5,0.5
4F4K_congruent,35,1,6,1.0
4F4K_congruent,35,1,7,0.9166666666666666
4F4K_congruent,35,1,8,0.6470588235294118
4F4K_congruent,35,1,9,0.8333333333333334
4F4K_congruent,35,1,10,0.7
4F4K_congruent,35,1,11,0.6923076923076923
4F4K_congruent,35,1,12,1.0
4F4K_congruent,35,1,13,0.6428571428571429
4F4K_congruent,35,1,14,0.7272727272727273
4F4K_congruent,35,1,15,0.8888888888888888
4F4K_congruent,35,2,0,0.46153846153846156
4F4K_congruent,35,2,1,0.5833333333333334
4F4K_congruent,35,2,2,0.5
4F4K_congruent,35,2,3,0.4
4F4K_congruent,35,2,4,0.7058823529411765
4F4K_congruent,35,2,5,0.5384615384615384
4F4K_congruent,35,2,6,0.631578947368421
4F4K_congruent,35,2,7,0.6153846153846154
4F4K_congruent,35,2,8,0.625
4F4K_congruent,35,2,9,0.8461538461538461
4F4K_congruent,35,2,10,0.7333333333333333
4F4K_congruent,35,2,11,0.6666666666666666
4F4K_congruent,35,2,12,0.7777777777777778
4F4K_congruent,35,2,13,0.7272727272727273
4F4K_congruent,35,2,14,0.7857142857142857
4F4K_congruent,35,2,15,0.7333333333333333
4F4K_congruent,39,1,0,0.5833333333333334
4F4K_congruent,39,1,1,0.6666666666666666
4F4K_congruent,39,1,2,0.8
4F4K_congruent,39,1,3,0.7142857142857143
4F4K_congruent,39,1,4,0.7142857142857143
4F4K_congruent,39,1,5,0.7692307692307693
4F4K_congruent,39,1,6,0.47058823529411764
4F4K_congruent,39,1,7,0.7777777777777778
4F4K_congruent,39,1,8,0.6
4F4K_congruent,39,1,9,0.7272727272727273
4F4K_congruent,39,1,10,0.8333333333333334
4F4K_congruent,39,1,11,0.6666666666666666
4F4K_congruent,39,1,12,0.6666666666666666
4F4K_congruent,39,1,13,0.6666666666666666
4F4K_congruent,39,1,14,0.7777777777777778
4F4K_congruent,39,1,15,0.6875
4F4K_congruent,39,2,0,0.8461538461538461
4F4K_congruent,39,2,1,0.46153846153846156
4F4K_congruent,39,2,2,0.6666666666666666
4F4K_congruent,39,2,3,0.8181818181818182
4F4K_congruent,39,2,4,0.7272727272727273
4F4K_congruent,39,2,5,0.6666666666666666
4F4K_congruent,39,2,6,0.625
