,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.44713260536721,94,7,95,,1.0,99.73537389550494,0.11651769999980388,0.45000900000013644
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.853272023700043,95,7,80,,1.0,63.6495387540514,0.08353369999986171,0.5166329000003316
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.4426285901745,96,7,85,,1.0,81.43085812016236,0.11678549999987808,0.4975383000000875
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.50230268732088,97,8,100,,1.0,114.52646253177622,0.1167979000001651,0.5003074999999626
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.56250799302465,98,8,90,,1.0,88.50998334215923,0.10024550000025556,0.41678330000013375
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.747621644693567,99,8,90,,1.0,82.57553108408158,0.10007379999979094,0.43362029999980223
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.77235322589431,100,8,90,,1.0,88.60659364688705,0.1163629999996374,0.4000071000000389
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.13804493462405,101,8,90,,1.0,87.66269414087618,0.11712330000000293,0.3837223999998969
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.96002299605533,102,8,80,,1.0,68.31255511623864,0.09924279999995633,0.4174219000001358
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.55228107311129,103,8,95,,1.0,116.26507601477407,0.11714630000005855,0.4835779000000002
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.91667748608604,104,8,85,,1.0,85.17753309430334,0.11678059999985635,0.4832518000002892
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.601346187608645,105,9,90,,1.0,88.6324559955424,0.11725920000026235,0.46598290000019915
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.96559540496978,106,9,95,,1.0,106.51020193010513,0.10004840000010518,0.5334385000001021
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.28326071958184,107,9,90,,1.0,94.4537445114694,0.48334840000006807,0.09982880000006844
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.337101046827552,108,9,100,,1.0,121.89079180184572,0.10139570000001186,0.4334828999999445
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.75652357187329,109,9,80,,1.0,73.72161385179278,0.10006810000004407,0.44975760000033915
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.167184419086045,110,9,85,,1.0,79.3553392935821,0.11809100000027684,0.5336002000003646
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.565808782906192,111,9,90,,1.0,87.27368900609375,0.11672279999993407,0.48306549999961135
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.704666452888112,112,9,90,,1.0,86.81133066707521,0.11691399999972418,0.49943720000010217
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.53707431949616,113,10,90,,1.0,86.15754687208515,0.13352539999959845,0.4833800000001247
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.423850241626592,114,10,95,,1.0,112.35577805490917,0.11681490000000849,0.5665737000003901
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.628011444481945,115,10,100,,1.0,117.60667785308796,0.10008509999988746,0.5001706000002741
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.55171137854049,116,10,90,,1.0,85.99878128752347,0.13422399999990375,0.41629839999995966
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.421563759255285,117,10,85,,1.0,76.1735021949309,0.13866109999980836,0.5170484999998735
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.233896984312665,118,10,80,,1.0,66.38704881118471,0.11694810000017242,0.4668308000000252
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.76382076764064,119,10,90,,1.0,85.98301458609804,0.11748960000022635,0.4503108000003522
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.083828702278847,120,10,90,,1.0,83.60696863226126,0.13272470000038084,0.4176639000002069
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.844954103984897,121,11,90,,1.0,79.72285941858757,0.13292529999944236,0.5336244000000079
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.6360458672734,122,11,95,,1.0,110.18580300946486,0.11659030000009807,0.4994826000001922
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.11108227629672,123,11,80,,1.0,74.39605285494325,0.09995319999961794,0.5001845000006142
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.235856950792087,124,11,90,,1.0,91.5911402711946,0.10003939999933209,0.7501596000001882
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.043019593105576,125,11,100,,1.0,119.41249471675268,0.1048770000006698,0.46651699999983975
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.915488766669583,126,11,90,,1.0,82.29966448139231,0.09990990000005695,0.4336213000005955
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.51058981886997,127,11,85,,1.0,81.53181470686752,0.44977730000027805,7.400446599999668
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.870503010331728,128,11,90,,1.0,84.48202189423522,0.09994329999972251,0.49982060000002093
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.486202853341364,129,12,90,,1.0,86.07102038363028,0.7660858999997799,0.0998356000000058
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.455817982751014,130,12,95,,1.0,106.59064147843831,0.31634589999976015,0.25040900000021793
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.64580780791329,131,12,100,,1.0,118.90738331243631,0.1669173000000228,0.3499848000001293
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.618578815269835,132,12,90,,1.0,86.49646835521554,0.11716859999978624,0.4161057000001165
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.74919695711137,133,12,80,,1.0,72.8441702310322,0.11690629999975499,0.43345290000070236
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.14514251361927,134,12,90,,1.0,89.85567844247734,0.13248490000023594,0.45132299999932
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.259750225381023,135,12,90,,1.0,88.35916336583199,0.13368540000010398,0.4172030999998242
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.266230302816805,136,12,85,,1.0,77.51973431214574,0.10010039999997389,0.5332312000000456
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.69660853858784,137,13,90,,1.0,81.35049406855038,0.09993889999987005,0.41693800000030024
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.015512233291705,138,13,80,,1.0,73.09768296743596,0.13296900000023015,0.38338260000000446
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.47317963885396,139,13,100,,1.0,116.49740566008688,0.13329590000012104,0.44963519999964774
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.48482965684143,140,13,85,,1.0,73.25683974534248,0.1165660000006028,0.43308039999919856
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.278379231515963,141,13,90,,1.0,90.15740559167324,0.4831767999994554,0.050372699999570614
