experiment,condition,subject,block,phase,acc
1,new_learn,30,26,Test,0.4
1,new_learn,30,27,Test,0.44
1,new_learn,30,28,Test,0.64
1,new_learn,30,29,Test,0.52
1,new_learn,30,30,Test,0.64
1,new_learn,30,31,Test,0.48
1,new_learn,30,32,Test,0.6
1,new_learn,30,33,Test,0.52
1,new_learn,30,34,Test,0.64
1,new_learn,30,35,Test,0.375
1,new_learn,31,0,Learn,0.76
1,new_learn,31,1,Learn,0.64
1,new_learn,31,2,Learn,0.76
1,new_learn,31,3,Learn,0.84
1,new_learn,31,4,Learn,0.92
1,new_learn,31,5,Learn,0.84
1,new_learn,31,6,Learn,0.8
1,new_learn,31,7,Learn,0.76
1,new_learn,31,8,Learn,0.72
1,new_learn,31,9,Learn,0.88
1,new_learn,31,10,Learn,0.8
1,new_learn,31,11,Learn,0.8
1,new_learn,31,12,Intervention,0.68
1,new_learn,31,13,Intervention,0.36
1,new_learn,31,14,Intervention,0.64
1,new_learn,31,15,Intervention,0.4
1,new_learn,31,16,Intervention,0.52
1,new_learn,31,17,Intervention,0.52
1,new_learn,31,18,Intervention,0.36
1,new_learn,31,19,Intervention,0.4
1,new_learn,31,20,Intervention,0.24
1,new_learn,31,21,Intervention,0.44
1,new_learn,31,22,Intervention,0.48
1,new_learn,31,23,Intervention,0.28
1,new_learn,31,24,Test,0.6
1,new_learn,31,25,Test,0.6
1,new_learn,31,26,Test,0.76
1,new_learn,31,27,Test,0.64
1,new_learn,31,28,Test,0.8
1,new_learn,31,29,Test,0.68
1,new_learn,31,30,Test,0.68
1,new_learn,31,31,Test,0.8
1,new_learn,31,32,Test,0.76
1,new_learn,31,33,Test,0.8
1,new_learn,31,34,Test,0.8
1,new_learn,31,35,Test,0.7916666666666666
1,new_learn,32,0,Learn,0.68
1,new_learn,32,1,Learn,0.68
1,new_learn,32,2,Learn,0.68
1,new_learn,32,3,Learn,0.8
1,new_learn,32,4,Learn,0.44
1,new_learn,32,5,Learn,0.6
1,new_learn,32,6,Learn,0.56
1,new_learn,32,7,Learn,0.8
1,new_learn,32,8,Learn,0.88
1,new_learn,32,9,Learn,0.72
1,new_learn,32,10,Learn,0.8
1,new_learn,32,11,Learn,0.8
1,new_learn,32,12,Intervention,0.76
1,new_learn,32,13,Intervention,0.68
1,new_learn,32,14,Intervention,0.6
1,new_learn,32,15,Intervention,0.44
1,new_learn,32,16,Intervention,0.48
1,new_learn,32,17,Intervention,0.64
1,new_learn,32,18,Intervention,0.8
1,new_learn,32,19,Intervention,0.6
1,new_learn,32,20,Intervention,0.52
1,new_learn,32,21,Intervention,0.56
1,new_learn,32,22,Intervention,0.52
1,new_learn,32,23,Intervention,0.56
1,new_learn,32,24,Test,0.48
1,new_learn,32,25,Test,0.64
1,new_learn,32,26,Test,0.44
1,new_learn,32,27,Test,0.64
1,new_learn,32,28,Test,0.68
1,new_learn,32,29,Test,0.84
1,new_learn,32,30,Test,0.76
1,new_learn,32,31,Test,0.72
1,new_learn,32,32,Test,0.84
1,new_learn,32,33,Test,0.72
1,new_learn,32,34,Test,0.76
1,new_learn,32,35,Test,0.7083333333333334
1,new_learn,33,0,Learn,0.56
1,new_learn,33,1,Learn,0.48
1,new_learn,33,2,Learn,0.48
1,new_learn,33,3,Learn,0.52
1,new_learn,33,4,Learn,0.56
1,new_learn,33,5,Learn,0.56
1,new_learn,33,6,Learn,0.6
